job_id,run_id,backbone,pe,dataset,seed,node,started_at,epochs_progress,run_status
833514,graphormer_none_peptides-func_seed0,graphormer,none,peptides-func,0,s-005,2026-09-01T11:49:50,200/200,ok
833520,graphormer_none_peptides-struct_seed0,graphormer,none,peptides-struct,0,s-005,2026-09-01T11:52:49,200/200,ok
833525,graphormer_lappe_peptides-func_seed0,graphormer,lappe,peptides-func,0,s-005,2026-09-01T12:31:28,200/200,ok
833540,graphormer_lappe_peptides-struct_seed0,graphormer,lappe,peptides-struct,0,s-005,2026-09-01T12:32:05,200/200,ok
833550,graphormer_rwse_peptides-func_seed0,graphormer,rwse,peptides-func,0,s-005,2026-09-01T14:01:36,200/200,ok
833557,graphormer_rwse_peptides-struct_seed0,graphormer,rwse,peptides-struct,0,s-003,2026-09-01T15:45:27,200/200,ok
833570,graphormer_signnet_peptides-func_seed0,graphormer,signnet,peptides-func,0,s-003,2026-09-01T18:32:48,200/200,ok
833583,graphormer_signnet_peptides-struct_seed0,graphormer,signnet,peptides-struct,0,s-004,2026-09-01T18:32:48,200/200,ok
833592,graphormer_grpe_peptides-func_seed0,graphormer,grpe,peptides-func,0,s-005,2026-09-01T18:38:16,200/200,ok
833607,graphormer_grpe_peptides-struct_seed0,graphormer,grpe,peptides-struct,0,s-005,2026-09-01T19:20:27,200/200,ok
837716,graphormer_lappe_peptides-func_seed0,graphormer,lappe,peptides-func,0,s-005,2026-09-02T12:33:24,200/200,ok
837717,graphormer_lappe_peptides-struct_seed0,graphormer,lappe,peptides-struct,0,s-005,2026-09-02T12:33:24,200/200,ok
838431,graphormer_grpe_peptides-func_seed0,graphormer,grpe,peptides-func,0,s-005,2026-09-02T19:23:18,200/200,ok
838701,graphormer_grpe_peptides-struct_seed0,graphormer,grpe,peptides-struct,0,s-005,2026-09-03T03:12:31,200/200,ok
839105,graphormer_none_peptides-func_seed2,graphormer,none,peptides-func,2,s-003,2026-09-03T03:23:11,200/200,ok
839132,graphormer_none_peptides-struct_seed2,graphormer,none,peptides-struct,2,s-004,2026-09-03T07:43:52,200/200,ok
839141,graphormer_lappe_peptides-func_seed2,graphormer,lappe,peptides-func,2,s-003,2026-09-03T08:17:06,200/200,ok
839152,graphormer_lappe_peptides-struct_seed2,graphormer,lappe,peptides-struct,2,s-005,2026-09-03T10:49:14,200/200,ok
839199,graphormer_rwse_peptides-func_seed2,graphormer,rwse,peptides-func,2,s-005,2026-09-03T10:49:14,200/200,ok
839221,graphormer_rwse_peptides-struct_seed2,graphormer,rwse,peptides-struct,2,s-003,2026-09-03T11:49:42,200/200,ok
839275,graphormer_signnet_peptides-struct_seed2,graphormer,signnet,peptides-struct,2,s-005,2026-09-03T12:33:46,200/200,ok
839234,graphormer_signnet_peptides-func_seed2,graphormer,signnet,peptides-func,2,s-005,2026-09-03T12:33:46,200/200,ok
839325,graphormer_grpe_peptides-func_seed2,graphormer,grpe,peptides-func,2,s-004,2026-09-03T13:56:35,200/200,ok
839337,graphormer_grpe_peptides-struct_seed2,graphormer,grpe,peptides-struct,2,s-003,2026-09-04T02:30:20,200/200,ok
849638,graphormer_lappe_peptides-func_seed0,graphormer,lappe,peptides-func,0,s-005,2026-09-04T14:28:13,200/200,ok
849640,graphormer_lappe_peptides-struct_seed0,graphormer,lappe,peptides-struct,0,s-005,2026-09-04T14:31:13,200/200,ok
849642,graphormer_grpe_peptides-func_seed0,graphormer,grpe,peptides-func,0,s-005,2026-09-04T14:34:13,200/200,ok
849644,graphormer_grpe_peptides-struct_seed0,graphormer,grpe,peptides-struct,0,s-005,2026-09-04T14:37:13,200/200,ok
849647,graphormer_lappe_peptides-struct_seed2,graphormer,lappe,peptides-struct,2,s-005,2026-09-04T14:40:13,200/200,ok
849649,graphormer_rwse_peptides-func_seed2,graphormer,rwse,peptides-func,2,s-005,2026-09-04T14:43:13,200/200,ok
849652,graphormer_signnet_peptides-func_seed2,graphormer,signnet,peptides-func,2,s-005,2026-09-05T08:46:34,200/200,ok
849658,graphormer_signnet_peptides-struct_seed2,graphormer,signnet,peptides-struct,2,s-005,2026-09-05T11:44:59,200/200,ok
851810,graphormer_lappe_peptides-func_seed0,graphormer,lappe,peptides-func,0,s-004,2026-09-05T15:09:26,200/200,ok
849652,graphormer_signnet_peptides-func_seed2,graphormer,signnet,peptides-func,2,s-005,2026-09-05T17:10:58,200/200,ok
851811,graphormer_lappe_peptides-struct_seed0,graphormer,lappe,peptides-struct,0,s-003,2026-09-05T17:15:51,200/200,ok
849652,graphormer_signnet_peptides-func_seed2,graphormer,signnet,peptides-func,2,s-005,2026-09-05T17:29:59,200/200,ok
849652,graphormer_signnet_peptides-func_seed2,graphormer,signnet,peptides-func,2,s-005,2026-09-05T18:12:18,200/200,ok
849652,graphormer_signnet_peptides-func_seed2,graphormer,signnet,peptides-func,2,s-005,2026-09-05T18:59:29,200/200,ok
849658,graphormer_signnet_peptides-struct_seed2,graphormer,signnet,peptides-struct,2,s-003,2026-09-05T19:08:46,200/200,ok
853961,graphormer_grpe_peptides-struct_seed0,graphormer,grpe,peptides-struct,0,s-003,2026-09-05T23:36:52,200/200,ok
853962,graphormer_rwse_peptides-func_seed2,graphormer,rwse,peptides-func,2,s-003,2026-09-05T23:36:52,200/200,ok
853960,graphormer_grpe_peptides-func_seed0,graphormer,grpe,peptides-func,0,s-004,2026-09-05T23:36:52,200/200,ok
853971,graphormer_none_peptides-func_seed1,graphormer,none,peptides-func,1,s-006,2026-09-05T23:47:57,200/200,ok
853978,graphormer_none_peptides-struct_seed1,graphormer,none,peptides-struct,1,s-002,2026-09-05T23:52:58,200/200,ok
853979,graphormer_lappe_peptides-func_seed1,graphormer,lappe,peptides-func,1,s-002,2026-09-06T00:02:59,200/200,ok
853963,graphormer_lappe_peptides-struct_seed2,graphormer,lappe,peptides-struct,2,s-003,2026-09-06T02:43:45,200/200,ok
853985,graphormer_lappe_peptides-struct_seed1,graphormer,lappe,peptides-struct,1,s-004,2026-09-06T06:05:37,200/200,ok
853990,graphormer_rwse_peptides-func_seed1,graphormer,rwse,peptides-func,1,s-004,2026-09-06T06:45:34,200/200,ok
853996,graphormer_rwse_peptides-struct_seed1,graphormer,rwse,peptides-struct,1,s-006,2026-09-06T07:10:00,200/200,ok
853999,graphormer_signnet_peptides-func_seed1,graphormer,signnet,peptides-func,1,s-004,2026-09-06T10:48:03,200/200,ok
854004,graphormer_signnet_peptides-struct_seed1,graphormer,signnet,peptides-struct,1,s-002,2026-09-06T10:48:05,200/200,ok
854011,graphormer_grpe_peptides-func_seed1,graphormer,grpe,peptides-func,1,s-004,2026-09-06T17:49:59,200/200,ok
854013,graphormer_grpe_peptides-struct_seed1,graphormer,grpe,peptides-struct,1,s-004,2026-09-06T21:31:16,200/200,ok
853985,graphormer_lappe_peptides-struct_seed1,graphormer,lappe,peptides-struct,1,s-002,2026-09-07T00:07:28,200/200,ok
853990,graphormer_rwse_peptides-func_seed1,graphormer,rwse,peptides-func,1,s-002,2026-09-07T00:37:37,200/200,ok
853999,graphormer_signnet_peptides-func_seed1,graphormer,signnet,peptides-func,1,s-002,2026-09-07T01:53:08,200/200,ok
854011,graphormer_grpe_peptides-func_seed1,graphormer,grpe,peptides-func,1,s-002,2026-09-07T02:48:29,200/200,ok
854013,graphormer_grpe_peptides-struct_seed1,graphormer,grpe,peptides-struct,1,s-004,2026-09-07T06:59:33,200/200,ok
863760,graphormer_none_peptides-struct_seed1,graphormer,none,peptides-struct,1,s-002,2026-09-07T12:51:02,200/200,ok
863849,graphormer_lappe_peptides-func_seed1,graphormer,lappe,peptides-func,1,s-003,2026-09-07T14:28:31,200/200,ok
863962,graphormer_signnet_peptides-struct_seed1,graphormer,signnet,peptides-struct,1,s-006,2026-09-07T15:18:32,200/200,ok
868052,graphormer_signnet_peptides-func_seed1,graphormer,signnet,peptides-func,1,s-006,2026-09-08T10:31:43,200/200,ok
868051,graphormer_grpe_peptides-func_seed1,graphormer,grpe,peptides-func,1,s-006,2026-09-08T10:31:43,200/200,ok
868542,graphormer_none_peptides-struct_seed1,graphormer,none,peptides-struct,1,s-002,2026-09-08T12:54:05,200/200,ok
869409,graphormer_none_peptides-struct_seed1,graphormer,none,peptides-struct,1,s-004,2026-09-08T16:10:01,200/200,ok
869408,graphormer_grpe_peptides-func_seed1,graphormer,grpe,peptides-func,1,s-004,2026-09-08T16:10:01,200/200,ok
