backbone,dataset,pe,n_paired_graphs,mean_diff_rho_rel_vs_none,ci_lo,ci_hi,significant
gps,pascalvoc-sp,lappe,634,0.007693310793597517,0.005028999306641506,0.010457574796257611,True
gps,pascalvoc-sp,rwse,634,0.004435374861588179,0.0016153880530370992,0.0071093045341645515,True
gps,pascalvoc-sp,signnet,634,-0.0020622786448011884,-0.0048255114949400674,0.0006078009251521858,False
san,pascalvoc-sp,grpe,634,0.0,0.0,0.0,False
san,pascalvoc-sp,lappe,634,0.0,0.0,0.0,False
san,pascalvoc-sp,rwse,634,0.0,0.0,0.0,False
san,pascalvoc-sp,signnet,634,0.0,0.0,0.0,False
gps,peptides-func,lappe,692,-0.007159245759692154,-0.010675336345787012,-0.0037084754303684055,True
gps,peptides-func,rwse,692,-0.0019716517003668284,-0.005877653911726905,0.0016489493266851004,False
gps,peptides-func,signnet,692,0.014585942319213598,0.01018116943051229,0.01889630173652535,True
graphormer,peptides-func,grpe,30,-0.0026776593707087885,-0.021081961574103667,0.016585274334357452,False
graphormer,peptides-func,lappe,30,0.0035897135252646187,-0.016199369353624725,0.025145253576010444,False
graphormer,peptides-func,rwse,30,0.003297354920278441,-0.012747543205154513,0.020826774270926822,False
graphormer,peptides-func,signnet,30,0.012142950695548636,-0.004063335930454857,0.03377595350043698,False
san,peptides-func,grpe,692,-0.1382495830084936,-0.14643357952990838,-0.12986968987400252,True
san,peptides-func,lappe,692,-0.12985082634612757,-0.13780861895969732,-0.1214220664638345,True
san,peptides-func,rwse,692,0.0502456099040349,0.03837871509970966,0.062256417981601676,True
san,peptides-func,signnet,692,-0.012553465152738075,-0.0253912596572925,0.0009980756556623779,False
gps,peptides-struct,lappe,692,-0.06199382565385083,-0.06548930273865738,-0.05836854340819445,True
gps,peptides-struct,rwse,692,-0.05791669717574141,-0.061268822418793896,-0.054285189837856636,True
gps,peptides-struct,signnet,692,-0.06554226996067351,-0.06949913874421451,-0.06154874940316995,True
graphormer,peptides-struct,grpe,30,0.0019010239292576504,-0.009891554483440342,0.014256300357421743,False
graphormer,peptides-struct,lappe,30,-0.004462399634418344,-0.019229348824527166,0.009656402499511555,False
graphormer,peptides-struct,rwse,30,0.004177325943613068,-0.013946448913968379,0.019603709667074778,False
graphormer,peptides-struct,signnet,30,-0.004398603233093366,-0.02113217371008141,0.012546860325860524,False
san,peptides-struct,grpe,692,-0.19997017060970537,-0.2076929781459296,-0.19208545520477513,True
san,peptides-struct,lappe,692,-0.19392099198083615,-0.20142582554675995,-0.186515246855795,True
san,peptides-struct,rwse,692,0.0349243518809809,0.02399336407481556,0.04587698433915763,True
san,peptides-struct,signnet,692,-0.18914147940549142,-0.1967170021195774,-0.18149889559470844,True
