backbone,pe,dataset,n_seeds,rho_d_min,rho_d_max,rho_weighting,metric_mean,metric_std,rho,s_bar_1_raw_gain,n_pairs_total,n_pairs_tail,max_d_populated,min_graphs_in_tail_bucket,graphs_at_d1,clustered_by,n_measurements,n_graphs,rho_ci_lo,rho_ci_hi,rho_seed_mean,rho_seed_std,n_seeds_with_curves,rho_rel,rho_rel_ci_lo,rho_rel_ci_hi,rho_rel_window,n_graphs_rel
gps,lappe,pascalvoc-sp,3,14,36,per_distance,0.3738033333333333,0.007303302905763497,0.4304170879807444,6.227200256937131,23593280,7060158,54,3,3,graph_id,768,634,0.42439224694772243,0.4528898563479751,0.4288724755928682,0.006511527789513519,3,0.3238491494889385,0.32011200038116316,0.3279084800255134,bins 6-10 of 10,634
gps,rwse,pascalvoc-sp,3,14,36,per_distance,0.38073,0.006463876545850799,0.4272366933767107,6.270687995766291,23593280,7060158,54,3,3,graph_id,768,634,0.41842763161819535,0.5171643289163728,0.42492950281741665,0.015274541195921887,3,0.31875727094351614,0.3147757394324399,0.32302294751957705,bins 6-10 of 10,634
gps,signnet,pascalvoc-sp,3,14,36,per_distance,0.35946666666666666,0.007941739943698303,0.420779492979745,5.2272577685632236,23593280,7060158,54,3,3,graph_id,768,634,0.41297577878816133,0.4652540399614037,0.4181739550410071,0.0040760677418483484,3,0.31298077507685124,0.30873096059662397,0.31768570871681245,bins 6-10 of 10,634
gps,none,pascalvoc-sp,3,14,36,per_distance,0.39292666666666665,0.007900381847311783,0.4196726130275372,7.514933171126951,23593280,7060158,54,3,3,graph_id,768,634,0.4126946010370436,0.42909116152707244,0.4220895925629158,0.009769270440397767,3,0.3173495738581076,0.31387231492107,0.3214363744223499,bins 6-10 of 10,634
san,grpe,pascalvoc-sp,3,14,36,per_distance,0.1683069333950117,0.005376782354115229,0.0,1.8638823718659714,89454700,26673951,54,3,3,graph_id,768,634,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,bins 6-10 of 10,634
san,lappe,pascalvoc-sp,3,14,36,per_distance,0.17387112079576508,0.026949601958057786,0.0,2.2395371678516667,89454700,26673951,54,3,3,graph_id,768,634,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,bins 6-10 of 10,634
san,none,pascalvoc-sp,3,14,36,per_distance,0.14561605636717323,0.019006085462003663,0.0,1.2473600296274547,89454700,26673951,54,3,3,graph_id,768,634,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,bins 6-10 of 10,634
san,rwse,pascalvoc-sp,3,14,36,per_distance,0.12574765855278705,0.060809555318609446,0.0,1.9504706713431583,68302656,20401226,54,3,3,graph_id,768,634,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,bins 6-10 of 10,634
san,signnet,pascalvoc-sp,3,14,36,per_distance,0.15404425889062115,0.014517313953768993,0.0,2.2219710339528485,68302656,20401226,54,3,3,graph_id,768,634,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,bins 6-10 of 10,634
gps,signnet,peptides-func,3,26,80,per_distance,0.6198266666666666,0.01769386993660045,0.5521432946337875,18.940321855791606,885081,323817,151,1,3,graph_id,768,692,0.542833744938899,0.5622935265023415,0.5519507694522057,0.009631312067459173,3,0.5185322247605386,0.5120333991761788,0.5248688282639731,bins 6-10 of 10,692
gps,rwse,peptides-func,3,26,80,per_distance,0.6459466666666667,0.003502061297769234,0.5353034089299928,29.58482482704993,885081,323817,151,1,3,graph_id,768,692,0.5259790421576769,0.5454437404893229,0.5352771337695256,0.0017622821392749453,3,0.5032479070978952,0.4974976208052984,0.5091435328417558,bins 6-10 of 10,692
gps,none,peptides-func,3,26,80,per_distance,0.6285433333333333,0.010276392038713484,0.5237211254407227,33.08309603254901,885081,323817,151,1,3,graph_id,768,692,0.5142668128973774,0.5344166128866039,0.5236400391008995,0.007410679207389845,3,0.5059961646049739,0.5004138326917076,0.5119716862951667,bins 6-10 of 10,692
gps,lappe,peptides-func,3,26,80,per_distance,0.65369,0.010196445459080305,0.5138705997941477,37.32851053478997,885081,323817,151,1,3,graph_id,768,692,0.504612381444355,0.5241915231800723,0.5138936651371647,0.004271468809289407,3,0.49704071502349545,0.49070776841378194,0.5034433787692699,bins 6-10 of 10,692
graphormer,none,peptides-func,3,26,80,per_distance,0.590737321779224,0.00408971754254251,0.617663901712029,3.1286099475430302,77936,31212,122,1,3,graph_id,30,30,0.5787603020535161,0.6552333056694802,0.6435428217791962,0.011624452574891274,3,0.5505555492945099,0.5295778025414468,0.5704513659171467,bins 6-10 of 10,30
graphormer,rwse,peptides-func,3,26,80,per_distance,0.6084893667458896,0.009026911367619475,0.6075384796529271,3.520405947047973,77936,31212,122,1,3,graph_id,30,30,0.5728762988465338,0.6416453299065514,0.6296072297792015,0.006299170563803391,3,0.5486574094128049,0.529215003159634,0.5649797142172994,bins 6-10 of 10,30
graphormer,signnet,peptides-func,3,26,80,per_distance,0.5655665012889544,0.011952555531925835,0.6020141175853054,3.1063307399937914,77936,31212,122,1,3,graph_id,30,30,0.5664025025578436,0.6374200421142058,0.6308078650541175,0.042266985362661054,3,0.5601544133117883,0.542627776234742,0.5766577874644335,bins 6-10 of 10,30
graphormer,grpe,peptides-func,3,26,80,per_distance,0.5925080639408822,0.006190283951727202,0.5844889442989284,2.6941266714412477,77936,31212,122,1,3,graph_id,30,30,0.5469059980242069,0.6233668511545177,0.6142633654857802,0.019380890918995777,3,0.5387413519085174,0.5147634518521272,0.5633672537437112,bins 6-10 of 10,30
graphormer,lappe,peptides-func,3,26,80,per_distance,0.5572448359178007,0.007630247049627357,0.5787837277634452,2.9290587393603715,77936,31212,122,1,3,graph_id,30,30,0.5395679916505548,0.6172747141933509,0.6044218097868211,0.028633652021572913,3,0.5500542533116736,0.5284417516165655,0.5699993588771538,bins 6-10 of 10,30
san,signnet,peptides-func,3,26,80,per_distance,0.30834294135983115,0.01882719509868425,0.23895545498718682,2.70872422569276,13276656,5251798,155,1,3,graph_id,768,692,0.20922655082480168,0.27324041911883395,0.1839514964431246,0.11765824552329408,3,0.18274172614489234,0.16591228525095594,0.19934957522313035,bins 6-10 of 10,692
san,rwse,peptides-func,3,26,80,per_distance,0.29511272648609443,0.014111324548558044,0.22716547123072045,1.9892562859586964,13276656,5251798,155,1,3,graph_id,768,692,0.20303885787391465,0.2590444696647307,0.2560955764203939,0.10871238084077273,3,0.19455828984888457,0.17990022007066556,0.21074326780365038,bins 6-10 of 10,692
san,none,peptides-func,3,26,80,per_distance,0.39709952334567994,0.07581786175637893,0.20237790537539505,0.6607095320483104,13276656,5251798,155,1,3,graph_id,768,692,0.1855990429881169,0.22008768219266958,0.19995952509435425,0.1491477940631985,3,0.16432437500420677,0.15291351808172812,0.17733105537826824,bins 6-10 of 10,692
